citetext,wikihandle,year,citeid,done,datevar,issuevar,volumevar,yearvar,refvar,manual_date
an article in the june 1958 issue ofbaseball digestincludes koshorek with other small in stature infielders likerabbit maranvillesparky adamsphil rizzuto and frank scalzi. these players the writer noted had to do more to impress baseball scouts.<ref>smith ken. june 1958. big dee spencer tower of support for giantsinfield. baseball digest. 56.</ref>after infieldergeorge strickland (baseball)|george stricklandbatted just .216 and committed 37 errors in 1952 piratesgeneral managerbranch rickey gave up on him. he pinned his hopes ondick groatand koshorek.<ref>gibbons george. september 1953.playmaker strickland bargain of year. baseball digest. 8.</ref>,Clem_Koshorek,2013,867,0,,,,,,1956
andr grew up inphoenixville pa in a family of athletes and graduated fromphoenixville high school. in 1967 a week before his eighteenth birthday thephiladelphia philliessigned thornton as an amateur free agent. in 1972 the phillies traded andr to theatlanta braves who traded him to the cubs the following year. thornton playing first base made his major-league debut with the cubs onjuly 281973and played for the cubs until may 1976. he was named to the 1974 all rookie team as a first baseman bybaseball digest. thornton had one of his best seasons in 1975; although his 18 home runs were only the seventh-best season total of his career andr hit .293 with a .428on-base percentageand aslugging percentageof .516. it was the first of six seasons in which thornton walked more than he struck out.,Andre_Thornton,2007,868,0,,,,,,NA
andr grew up inphoenixville pennsylvania in a family of athletes and graduated fromphoenixville high school. in 1967 a week before his 18th birthday thephiladelphia philliessigned thornton as an amateur free agent. in 1972 the phillies traded andr to theatlanta braves who traded him to the cubs the following year. thornton playing first base made his major-league debut with the cubs onjuly 28 {{by|1973}} and played for the cubs until may 1976. he was named to the 1974 all-rookie team as a first baseman bybaseball digest. thornton had one of his best seasons in 1975; although his 18 home runs were only the seventh-best season total of his career he hit .293 with a .428on base percentageand aslugging percentageof .516. it was the first of six seasons in which thornton walked more than he struck out.,Andre_Thornton,2008,869,0,,,,,,NA
at the end of the 1976 season pole became one of the inaugural members of theseattle marinersfranchise as they selected him from the red sox with the seventh pick in the 1976expansion draft. pole spent 1977 and 1978 with the mariners but his performance was not up to the standard he had set in boston possibly due to effects from the injury. his most memorable moment with seattle came onaugust 51977 when he surrenderedreggie jacksons 300th career home run.<ref>http://www.findarticles.com/p/articles/mi_m0fci/is_8_62/ai_104362924 7th inning stretch; players who hit 500 lifetime home runs - illustration|baseball digest|find articles at bnet.com<!-- bot generated title --></ref>onmarch 241979 pole was released.,Dick_Pole,2008,897,0,,,,,,NA
at the end of the 1976 season pole became one of the inaugural members of theseattle marinersfranchise as they selected him from the red sox with the seventh pick in the1976 mlb expansion draft. pole spent 1977 and 1978 with the mariners but his performance was not up to the standard he had set in boston possibly due to effects from the injury. his most memorable moment with seattle came on august 5 1977 when he surrenderedreggie jacksons 300th career home run.<ref>http://www.findarticles.com/p/articles/mi_m0fci/is_8_62/ai_104362924 7th inning stretch; players who hit 500 lifetime home runs - illustration|baseball digest|find articles at bnet.com<!-- bot generated title --></ref>on march 24 1979 the mariners released him.,Dick_Pole,2012,898,0,,,,,,NA
at the end of the 1976 season pole became one of the inaugural members of theseattle marinersfranchise as they selected him from the red sox with the seventh pick in the1976 mlb expansion draft. pole spent 1977 and 1978 with the mariners but his performance was not up to the standard he had set in boston possibly due to effects from the injury. his most memorable moment with seattle came on august 5 1977 when he surrenderedreggie jacksons 300th career home run.<ref>http://www.findarticles.com/p/articles/mi_m0fci/is_8_62/ai_104362924 7th inning stretch; players who hit 500 lifetime home runs - illustration|baseball digest|find articles at bnet.com<!-- bot generated title --></ref>on march 24 1979 pole was released.,Dick_Pole,2009,899,0,,,,,,NA
at the end of the 1976 season pole became one of the inaugural members of theseattle marinersfranchise as they selected him from the red sox with the seventh pick in the1976 mlb expansion draft. pole spent 1977 and 1978 with the mariners but his performance was not up to the standard he had set in boston possibly due to effects from the injury. his most memorable moment with seattle came on august 5 1977 when he surrenderedreggie jacksons 300th career home run.<ref>http://www.findarticles.com/p/articles/mi_m0fci/is_8_62/ai_104362924 7th inning stretch; players who hit 500 lifetime home runs - illustration|baseball digest|find articles at bnet.com<!-- bot generated title --></ref>on march 24 1979 the mariners released him.,Dick_Pole,2010,900,0,,,,,,NA
at the time of his retirement hartnetts 236 home runs 1179 runs batted in 1912 hits and 396 doubles were all records for catchers.<ref name=record for most home runs by a catcher/>bill dickeysurpassed his records for most runs batted in and hits in {{by|1943}} while his career home run record for catchers was broken byyogi berrain {{by|1956}}.<ref name=record for most home runs by a catcher/>his career mark for doubles stood until {{by|1983}} when it was broken byted simmons.<ref>{{cite book|url=http://books.google.com/books?id=wssdaaaambaj&pg=pa9&lpg=pa9&dq=ted+simmons+baseball+digest&source=bl&ots=z0osofu9-u&sig=4ns_bz40i6l40iiqtbdigespays&hl=en&ei=2x9-ti3hbchflgftv5dscw&sa=x&oi=book_result&ct=result&resnum=8&ved=0ccsq6aewbzgk#v=onepage&q=ted%20simmons%20baseball%20digest&f=false|title=how ted simmons rates with hall of fame catchers|publisher=baseball digest|accessdate=27 june 2012 }}</ref>hartnett also finished among the national leagues top ten in slugging percentage seven times in his career.<ref name=gabby hartnett statistics/>a six-time all-star he was the recipient of one most valuable player award and played on four pennant-winning teams.<ref name=gabby hartnett statistics/>hartnetts .370 career on base percentage was higher than the .342 posted by johnny bench and the .348 posted by yogi berra.<ref>{{cite web|url=http://www.baseball-reference.com/players/b/benchjo01.shtml|title=johnny bench career statistics|publisher=baseball reference|accessdate=16 february 2011 }}</ref><ref>{{cite web|url=http://www.baseball-reference.com/players/b/berrayo01.shtml|title=yogi berra career statistics|publisher=baseball reference|accessdate=16 february 2011 }}</ref>his 55.74% career caught stealing percentage ranks second only toroy campanellaamong major league catchers.<ref>{{cite web|url=http://www.baseball-reference.com/leaders/caught_stealing_perc_career.shtml|title=career leaders & records for caught stealing percentage|publisher=baseball reference|accessda,Gabby_Hartnett,2013,901,0,,,,,,NA
at the time of his retirement hartnetts 236 home runs 1179 runs batted in 1912 hits and 396 doubles were all records for catchers.<ref name=record for most home runs by a catcher/>bill dickeysurpassed his records for most runs batted in and hits in {{by|1943}} while his career home run record for catchers was broken byyogi berrain {{by|1956}}.<ref name=record for most home runs by a catcher/>his career mark for doubles stood until {{by|1983}} when it was broken byted simmons.<ref>{{cite book|url=http://books.google.com/books?id=wssdaaaambaj&pg=pa9&lpg=pa9&dq=ted+simmons+baseball+digest&source=bl&ots=z0osofu9-u&sig=4ns_bz40i6l40iiqtbdigespays&hl=en&ei=2x9-ti3hbchflgftv5dscw&sa=x&oi=book_result&ct=result&resnum=8&ved=0ccsq6aewbzgk#v=onepage&q=ted%20simmons%20baseball%20digest&f=false|title=how ted simmons rates with hall of fame catchers|publisher=baseball digest|accessdate=27 june 2012 }}</ref>hartnett also finished among the national leagues top ten in slugging percentage seven times in his career.<ref name=gabby hartnett statistics/>a six-time all-star he was the recipient of one most valuable player award and played on four pennant-winning teams.<ref name=gabby hartnett statistics/>hartnetts .370 career on base percentage was higher than the .342 posted by johnny bench or the .348 posted by yogi berra.<ref>{{cite web|url=http://www.baseball-reference.com/players/b/benchjo01.shtml|title=johnny bench career statistics|publisher=baseball reference|accessdate=16 february 2011 }}</ref><ref>{{cite web|url=http://www.baseball-reference.com/players/b/berrayo01.shtml|title=yogi berra career statistics|publisher=baseball reference|accessdate=16 february 2011 }}</ref>his bat and catchers mask were the first artifacts sent to the newly constructedbaseball hall of famein {{by|1938}}.<ref name=gabby hartnett at the baseball page/>,Gabby_Hartnett,2012,902,0,,,,,,NA
batters on occasion have been given intentional walks with the bases loaded (effectively giving the offensive team a risk-free run) although this occurs very infrequently.<ref>holtzman jerome (may 2000).http://findarticles.com/p/articles/mi_m0fci/is_5_59/ai_64150752/ free passplayers who were intentionally walked with bases loaded - brief article.baseball digest. retrieved on 2009-05-13.</ref>,Base_on_balls,2012,917,0,,,,,,2000
became very popular; one of the solutions brought 7000 letters of protest to the magazine. nearly all were actually plays though a few were the results of bad dreams. the series ran until 1961 and later was published inbaseball digest. in 1962 the series was published in book form and sold 500000 copies in many editions.,Harry_Simmons,2009,919,0,,,,,,1962
beckham committed to theuniversity of southern californiaduring his senior year<ref>http://www.baseballamerica.com/today/highschool/features/265333.html crazy summer benefits beckham</ref>but maintained his intentions of entering the2008 major league baseball draft|2008 mlb draft. through 24 games in his senior season beckham batted .500 with five home runs nine doubles and three triples. beckham also added 31 rbis and 16 stolen bases.<ref>http://blog.baseballdigestdaily.com/blog/_archives/2008/5/5/3676290.html baseball digest daily</ref>,Tim_Beckham,2011,926,0,,,,,,NA
beckham committed to theuniversity of southern californiaduring his senior year<ref>http://www.baseballamerica.com/today/highschool/features/265333.html crazy summer benefits beckham</ref> but maintained his intentions of entering the2008 major league baseball draft|2008 mlb draft. through 24 games in his senior season beckham batted .500 with five home runs nine doubles and three triples. beckham also added 31 rbis and 16 stolen bases.<ref>http://blog.baseballdigestdaily.com/blog/_archives/2008/5/5/3676290.html baseball digest daily</ref>,Tim_Beckham,2009,928,0,,,,,,NA
beckham committed to theuniversity of southern californiaduring his senior year<ref>http://www.baseballamerica.com/today/highschool/features/265333.html crazy summer benefits beckham</ref> but maintained his intentions of entering the2008 mlb draft. through 24 games in his senior season beckham batted .500 with five home runs nine doubles and three triples. beckham also added 31 rbis and 16 stolen bases<ref>http://blog.baseballdigestdaily.com/blog/_archives/2008/5/5/3676290.html baseball digest daily</ref>.,Tim_Beckham,2008,929,0,,,,,,NA
boros spent the full 1961 season with the detroit tigers including 115 games as the teams startingthird baseman. as the season got underway boros was touted as a cant miss star.joe falls who was later inducted into the writerswing of the baseball hall of fame wrote:<blockquote>steve boros cant miss. hes got all the tools. great hands great speed great desire -- and watch him swing that bat. hes got everything.it may be so too. for this young man up from denver . . . is the most celebrated rookie to move up to the detroit tigers sincefrank bollingin 1954.<ref>{{cite news|author=joe falls|title=steve boros could be clubs best rookie since54: a confident young tigers|publisher=baseball digest|pages=8182|url=http://books.google.com/books?id=as0daaaambaj&pg=pa81&dq=steve+boros&hl=en&sa=x&ei=dwx1t9u8o8iq2qxs_-tybg&ved=0cegq6aewba#v=onepage&q=steve%20boros&f=false}}</ref></blockquote>,Steve_Boros,2013,975,0,,,,,,NA
by the time robinson was acquired by the boston red sox in1951 boston red sox season|1951 he was hitting for just a .207 batting average.<ref>http://www.baseball-reference.com/players/gl.cgi?n1=robinaa01&t=b&year=1951 aaron robinson 1951 batting game log at baseball digest</ref>robinson retired at the end of the {{by|1951}} season.<ref name=aaron robinson at baseball reference/>,Aaron_Robinson,2010,989,0,,,,,,NA
cash later said of the 1961 season: it was a freak. even at the time i realized that. everything i hit seemed to drop in even when i didnt make good contact. i never thought id do it again.<ref name=baseball digest/>,Norm_Cash,2012,1004,0,,,,,,NA
cash was trapped between first and second base about to be tagged out. he stopped in his tracks and formed a t with his hands to call time-out. there was also a time when cash missed a foul ball in the stands turned a little boys cap around stuck his hand into the young fans popcorn box and said thanks kid as the boy looked up in bewilderment.<ref name=baseball digest/>,Norm_Cash,2008,1005,0,,,,,,NA
charles strub was born inhollister californiaas the only child of isadore strub and rebecca williamson strub. he graduated with a degree in dentistry from theuniversity of california at berkeleywhere he played varsity baseball. having been put through agony as a child by the dentists of the day he studied modern techniques with new pain-killing drugs and laughing gas so that pulling an abscessed tooth could be done painlesslya great benefit to society he thought. <ref>a sound of horses david alexander 1966 p 55</ref> having invested in state-of-the-art equipment he was wiped out by the 1906 earthquake that destroyed his office before he saw his very first patient. in the weeks the disaster he saw a column in the newspaper that said his baseball coach from cal charles graham was looking for him to play some ball. during 1906 and 1907 he played baseball with thesan franciscoteam in the california state league but made his living as a dentist. entrepreneurial focused he was known as the advertising dentist and eventually had a chain of six painless extraction dentist parlors.<ref>a sound of horses david alexander 1966 p 56</ref> his chain of dentist offices provided him the opportunity to speculate in the burgeoning california real estate market financing much of the rebuilding of the sf business district after the earthquake making doc strub a very wealthy man. one of the san francisco buildings he built was 450 sutter which still houses medical professionals. in 1918 the financially strapped owner of the san francisco seals put the baseball team up for sale and george alfred (alfie) putnam andcharlie graham|charles h. grahamwere looking to acquired the club but lacked the necessary funds. after passing one of strubs dentist offices they sought out and brought the doc in as an equal partner. appointed team president he successfully led the san francisco seals for more than two decades. in 1931 he oversaw construction ofseals stadium. as president of the sea,Charles_H._Strub,2011,1006,0,,,,,,NA
charles strub was born inhollister californiaas the only child of isadore strub and rebecca williamson strub. he graduated with a degree in dentistry from theuniversity of california at berkeleywhere he played varsity baseball. having been put through agony as a child by the dentists of the day he studied modern techniques with new pain-killing drugs and laughing gas so that pulling an abscessed tooth could be done painlesslya great benefit to society he thought.<ref>a sound of horses david alexander 1966 p 55</ref> having invested in state-of-the-art equipment he was wiped out by the 1906 earthquake that destroyed his office before he saw his very first patient. in the weeks the disaster he saw a column in the newspaper that said his baseball coach from cal charles graham was looking for him to play some ball. during 1906 and 1907 he played baseball with the san francisco team in the california state league but made his living as a dentist. entrepreneurial focused he was known as the advertising dentist and eventually had a chain of six painless extraction dentist parlors.<ref>a sound of horses david alexander 1966 p 56</ref> his chain of dentist offices provided him the opportunity to speculate in the burgeoning california real estate market financing much of the rebuilding of the sf business district after the earthquake making doc strub a very wealthy man. one of the san francisco buildings he built was 450 sutter which still houses medical professionals. in 1918 the financially strapped owner of the san francisco seals put the baseball team up for sale and george alfred (alfie) putnam andcharlie graham|charles h. grahamwere looking to acquired the club but lacked the necessary funds. after passing one of strubs dentist offices they sought out and brought the doc in as an equal partner. appointed team president he successfully led the san francisco seals for more than two decades. in 1931 he oversaw construction ofseals stadium. as president of the seals h,Charles_H._Strub,2013,1007,0,,,,,,NA
charles strub was born inhollister californiaas the only the only child of isadore strub and rebecca williamson strub. he graduated with a degree in dentistry from theuniversity of california at berkeleywhere he played varsity baseball. having been put through agony as a child by the dentists of the day he studied modern techniques with new pain-killing drugs and laughing gas so that pulling an abscessed tooth could be done painlessly- a great benefit to society he thought. <ref>a sound of horses david alexander 1966 p 55</ref> having invested in state of the art equipment he was wiped out by the 1906 earthquake that destroyed his office before he saw his very first patient. in the weeks the disaster he saw a column in the newspaper that said his baseball coach from cal charles graham was looking for him to play some ball. during 1906 and 1907 he played baseball with thesan franciscoteam in the california state league but made his living as a dentist. entrepreneurial focused he was known as the advertising dentist and eventually had a chain of six painless extraction dentist parlors.<ref>a sound of horses david alexander 1966 p 56</ref> his chain of dentist offices provided him the opportunity to speculated in the burgeoning california real estate market financing much of the rebuilding of the sf business district after the earthquake making doc strub a very wealthy man. one of the san francisco buildings he built was 450 sutter which still houses medical professionals. in 1918 the financially-strapped owner of the san francisco seals put the baseball team up for sale and george alfred (alfie) putnam andcharlie graham|charles h. grahamwere looking to acquired the club but lacked the necessary funds. after passing one of strubs dentist offices the sought out and brought the doc in as an equal partner. appointed team president he successfully led the san francisco seals for more than two decades. in 1931 he oversaw construction ofseals stadium. as president o,Charles_H._Strub,2010,1008,0,,,,,,NA
david andriesen:http://www.findarticles.com/p/articles/mi_m0fci/is_12_62/ai_110471522 mariners relate each positions toughest plays: seattle defenders discuss some of the most difficult fielding maneuvers in baseball - in their own words.baseball digest dec. 2003.,In-between_hop,2006,1029,0,,,,,,2003
david was expected to resign either in theunited states of america|usjapanorsouth korea|koreaduring 2011<ref>http://www.smh.com.au/sport/welch-finds-right-pitch-to-tempt-asian-clubs-20110203-1afi7.html welch finds right pitch to tempt asian clubssydney morning herald</ref>but on 18 july 2011 announced his retirement from professional baseball.<ref>http://thebaseballdigest.wordpress.com/2011/07/18/david-welch-retires/ david welch retiresthe australian baseball digest</ref>,David_Welch_(baseball),2012,1030,0,,,,,,NA
despite the winning record spooner was deemed only marginally effective. prior to the injury spooner threw afastballthat ranged in the mid to high 90s;<ref>{{cite book|title=baseball digest sep-oct 2009|url=http://books.google.co.jp/books?id=jcqjwdxrzb0c&lpg=pa1&hl=en&pg=pa6#v=onepage&q&f=false|author=|year=|publisher=lakeside publishing company|location=united states|pages=6|accessdate=june 13 2010}}</ref>post-injury that was not the case. in his final appearance as a dodger spooner started game 6 of the 1955 world series and was shellacked giving up 5 runs in one-third of an inning and taking the loss.,Karl_Spooner,2013,1039,0,,,,,,2009
dimaggio made a tremendous play in game&nbsp;2. with two outs in the bottom of the ninth inninghank leiberdrove the ball {{convert|490|ft|m}} deep into dead center and joe caught the ball running up the steps of the clubhouse.<ref>{{cite book|url=http://books.google.com/?id=ji4daaaambaj&pg=pa19&lpg=pa23&dq=frank+snyder+baseball+digest#v=onepage&q&f=false|title=diamonds are rough all over|author=frank stanley|publisher=books.google.com|date={{#formatdate:july 1947}}|work=baseball digest|accessdate={{#formatdate:november 2 2010}} }}</ref>this remarkable catch was at least {{convert|40|ft|m}} further thanwillie maysfar more celebrated catch ofvic wertzs drive to deep straightaway center in game&nbsp;1 of the1954 world series. after dimaggios game-ending grabfranklin d. roosevelt|president roosevelt who was in attendance saluted joe for his great catch as he rode off in the presidential limousine.<ref>{{cite web|url=http://www.nydailynews.com/features/thestadium/the_magazine/parttwo_01.html|title=part two: the yankee clipper sails in|last=coffey|first=wayne|publisher=nydailynews.com|accessdate={{#formatdate:2011-01-17}}}}</ref>all three ninth-inning outs were made by dimaggio.,1936_World_Series,2013,1044,0,,,,,,1947
dryden originated many of the expressions used in baseball writing including the termspinch hit ball yard and old horsehide. he also coined the nicknames the hitless wonders for the1906 chicago white sox season|1906 chicago white soxfred merkle|fred bonehead merklefrank chance|frank the peerless leader chance andcharles comiskey|charles the old roman comiskey. in describing the last-place1909 washington senators season|1909 washington senators he famously wrote: washington first in war first in peace and last in the american league.<ref name=bd>{{cite news|author=herbert simons|title=writers sometimes arent all write|newspaper=baseball digest|date=may 1965}}</ref> whened walshwon 40 games in 1908 dryden memorably described him as the only man ive ever known who could strut sitting down.,Charles_Dryden,2013,1050,0,,,,,,1965
due to the rarity of a player excelling in the combination of hitting home runs and stealing bases<ref name=blend/>baseball digestcalled the 3030 club the most celebrated feat that can be achieved by a player who has bothpowerspeed number|power and speed.<ref name=elite/>of the 22 members eligible for thenational baseball hall of fame and museum|baseball hall of fame threelist of members of the baseball hall of fame|have been electedand two were elected on the first ballot. eligibility requires that a player has been retired five seasons or deceased for at least six&nbsp;months<ref>{{cite web|url=http://baseballhall.org/hall-famers/rules-election/bbwaa|title=rules for election|publisher=national baseball hall of fame|accessdate=july 4 2012}}</ref>disqualifying fourteen active players and two players who have been retired for less than five seasons. in recent years there has been an increase in the number of new members; in every season except for two{{#tag:ref|the seasons with no 3030 members were 1994 (shortened by199495 major league baseball strike|strike) and 2010.<ref name=3030/>|group=lower-alpha}} from 1987 to 2012 there has been at least one 3030 member.<ref name=3030/>,30%E2%80%9330_club,2013,1058,0,,,,,,NA
during the1959 world series essegian set a series record with twopinch-hitter|pinch-hithome runs against thechicago white sox. the mark would be matched bybernie carboof theboston red sox who pinch-hit homers against thecincinnati redsin the1975 world series|1975series.<ref>http://findarticles.com/p/articles/mi_m0fci/is_8_64/ai_n15343199/ baseball digest world series record book: high marks for a single series</ref>,Chuck_Essegian,2012,1076,0,,,,,,NA
dyer played alongsidesal bandoandrick mondayas a member of thearizona state sun devils baseballteam that won the1965 college world series.<ref name=the baseball biography project: duffy dyer>{{cite web|url=http://bioproj.sabr.org/bioproj.cfm?a=v&v=l&bid=1913&pid=3930|title=the baseball biography project: duffy dyer|author=ulrey adam|publisher=society for american baseball research|accessdate=10 november 2010}}</ref>he was drafted by the mets in the1966 major league baseball draftand backed upjerry groteas a member of the1969 new york mets season|1969 miracle metsteam that went on to win the1969 world series|world series.<ref>{{cite web|url=http://www.thebaseballcube.com/draft/1966/round-1-2.shtml|title=1966 june secondary draft round 1|publisher=thebaseballcube.com|accessdate=10 november 2010 }}</ref><ref>{{cite web|url=http://www.baseball-reference.com/teams/nym/1969.shtml|title=1969 new york mets batting pitching & fielding statistics|publisher=baseball reference|accessdate=10 november 2010 }}</ref><ref>{{cite web|url=http://www.baseball-reference.com/pl/player_search.cgi?search=1969+world+series|title=1969 world series|publisher=baseball reference|accessdate=10 november 2010 }}</ref>dyer caught most of the mets games in1972 new york mets season|1972 as grote battled injuries.<ref>{{cite web|url=http://www.baseball-reference.com/teams/nym/1972.shtml|title=1972 new york mets season|publisher=baseball reference|accessdate=10 november 2010 }}</ref>in 94 games he posted career-highs with 8home runs and 36runs batted in.<ref name=duffy dyer/>he also led national league catchers indouble plays and in baserunnerscaught stealing finished second inassist (baseball)|assistsand third infielding percentage.<ref name=duffy dyer/>in1973 new york mets season|1973 dyer was part of the mets team that staged another miraculous season when they came from last place on august 30 to win thenational league easte,Duffy_Dyer,2012,1084,0,,,,,,NA
dyer played alongsidesal bandoandrick mondayas a member of thearizona state sun devilsteam that won the1965 college world series.<ref name=the baseball biography project: duffy dyer>{{cite web|url=http://bioproj.sabr.org/bioproj.cfm?a=v&v=l&bid=1913&pid=3930|title=the baseball biography project: duffy dyer|author=ulrey adam|publisher=society for american baseball research|accessdate=10 november 2010}}</ref>he was drafted by the mets in the1966 major league baseball draftand backed upjerry groteas a member of the1969 new york mets season|1969 miracle metsteam that went on to win the1969 world series|world series.<ref>{{cite web|url=http://www.thebaseballcube.com/draft/1966/round-1-2.shtml|title=1966 june secondary draft round 1|publisher=thebaseballcube.com|accessdate=10 november 2010 }}</ref><ref>{{cite web|url=http://www.baseball-reference.com/teams/nym/1969.shtml|title=1969 new york mets batting pitching & fielding statistics|publisher=baseball reference|accessdate=10 november 2010 }}</ref><ref>{{cite web|url=http://www.baseball-reference.com/pl/player_search.cgi?search=1969+world+series|title=1969 world series|publisher=baseball reference|accessdate=10 november 2010 }}</ref>dyer caught most of the mets games in1972 new york mets season|1972 as grote battled injuries.<ref>{{cite web|url=http://www.baseball-reference.com/teams/nym/1972.shtml|title=1972 new york mets season|publisher=baseball reference|accessdate=10 november 2010 }}</ref>in 94 games he posted career-highs with 8home runs and 36runs batted in.<ref name=duffy dyer/>he also led national league catchers indouble plays and in baserunnerscaught stealing finished second inassist (baseball)|assistsand third infielding percentage.<ref name=duffy dyer/>in1973 new york mets season|1973 dyer was part of the mets team that staged another miraculous season when they came from last place on august 30 to win thenational league eastern divisi,Duffy_Dyer,2010,1085,0,,,,,,NA
each leagues award is voted on by members of thebaseball writers association of america with two representatives from each team which means 28 ballots are cast for the american league winner and 32 ballots are cast for the national league.<ref name=basealm />each voter places a vote for first second and third place among the pitchers of each league. theformulaused to calculate the final scores is a weighted sum of the votes.{{ref label|formula|a|a}} the pitcher with the highest score in each league wins the award.<ref name=basealm />if two pitchers receive the same number of votes the award is shared.<ref name=bd>{{cite web|url=http://findarticles.com/p/articles/mi_m0fci/is_11_63/ai_n6332592|title=cy young award voting results|publisher=baseball digest|accessdate=2008-11-01}}</ref>the current formula started in the 1970 season. before that writers only voted for the best pitcher and used a formula of one point per vote.<ref name=basealm />,Cy_Young_Award,2009,1091,0,,,,,,NA
each leagues award is voted on by members of thebaseball writers association of america with two representatives from each team which means 28 ballots are cast for the american league winner and 32 ballots are cast for the national league.<ref name=basealm />each voter places a vote for first second and third place among the pitchers of each league. theformulaused to calculate the final scores is a weighted sum of the votes.{{ref label|formula|a|a}} the pitcher with the highest score in each league wins the award.<ref name=basealm />if two pitchers receive the same number of votes the award is shared.<ref name=bd>{{cite web|url=http://findarticles.com/p/articles/mi_m0fci/is_11_63/ai_n6332592|title=cy young award voting results|publisher=baseball digest|accessdate=2008-11-01}}</ref>the current formula started in the {{by|1970}} season. before that writers only voted for the best pitcher and used a formula of one point per vote.<ref name=basealm />,Cy_Young_Award,2008,1092,0,,,,,,NA
finley also made changes to the teams uniforms. in 1963 finley changed the teams colors to kelly greenfort knoxgold and wedding gown white. in 1967 he replaced the teams traditional black cleats with white ones. he also started phasing out the team name athletics in favor of as. (whenmickey mantlesaw the asgreen-and-gold uniforms he jeered they should have come out of the dugout on tippy-toes holding hands and singing according tobaseball digest.),Charlie_Finley,2007,1110,0,,,,,,NA
finley also made changes to the teams uniforms. in1963 in baseball|1963 finley changed the teams colors to kelly greenfort knoxgold and wedding gown white. in1967 in baseball|1967 he replaced the teams traditional black cleats with white ones. he also started phasing out the team name athletics in favor of as. (whenmickey mantlesaw the asgreen-and-gold uniforms he jeered they should have come out of the dugout on tippy-toes holding hands and singing according tobaseball digest).,Charlie_Finley,2011,1111,0,,,,,,NA
finley also made changes to the teams uniforms. in1963 in baseball|1963 finley changed the teams colors to kelly greenfort knoxgold and wedding gown white. in1967 in baseball|1967 he replaced the teams traditional black cleats with white ones. he also started phasing out the team name athletics in favor of as. (whenmickey mantlesaw the asgreen-and-gold uniforms he jeered they should have come out of the dugout on tippy-toes holding hands and singing according tobaseball digest.),Charlie_Finley,2008,1112,0,,,,,,NA
following the 1899 season the senators franchise ceased operations which resulted in paddens sale along with obrien to thedetroit tigersof theamerican league which was a minor league at the time.<ref name=retrosheet/><ref name=nationalsfranchise>{{cite web|url=http://www.retrosheet.org/boxesetc/w/fr_wsn.htm|title=washington nationals (1891-1899)|work=retrosheet.org|publisher=retrosheet inc|accessdate=10 december 2009}}</ref> however before the {{by|1900}} season began he joined thechicago white sox also a minor league team as theirplayer-managerinstead.<ref name=spink286/><ref name=retrosheet/>on may 16 he was involved in a physical altercation withducky holmesand anotherdetroitplayer.<ref name=bd>{{cite news|last=bryson|first=bill|title=when teams were full of fight|work=baseball digest|volume=volume 10 no. 3.|pages=4142}}</ref>while playing adoubleheader (baseball)|doubleheaderon september&nbsp;16 against connie mack and his milwaukee team padden suggested to mack that the second game be shortened to five innings due to the fact that the first game lasted just over three hours and they might not finish the second game before darkness.<ref name=macht126/> mack who estimated that he could get five more good innings from his game onestarting pitcherrube waddell quickly agreed.<ref name=macht126/> paddens suggestion backfired and turned into a successful strategy for mack whose team with waddell pitching won the game.<ref name=macht126/>despite that incident padden and his leadership skills led the white sox to the american league championship that season.<ref name=james91>james p. 91</ref>,Dick_Padden,2010,1119,0,,,,,,1951
guilln was anmajor league baseball all-star game|all-starin {{by|1988}} {{by|1990}}-{{by|1991}} and won thegold glove awardin1990 chicago white sox season|1990.<ref name=ozzie guillen at baseball reference/><ref>{{cite web|url=http://www.baseball-reference.com/awards/gold_glove_al.shtml|title=american league gold glove winners|publisher=baseball reference|accessdate=21 august 2010 }}</ref>he led american league shortstops twice inrange factor once inassist (baseball)|assistsand once infielding percentage.<ref name=ozzie guillen at baseball reference/>guillns .974 career fielding percentage ranks him 40th overall among major league shortstops ahead of both luis aparicio and dave concepcion.<ref>{{cite web|url=http://www.baseball-reference.com/leaders/fielding_perc_ss_career.shtml|title=career leaders & records for fielding percentage for shortstops|publisher=baseball reference|accessdate=21 august 2010 }}</ref>while he was considered one of the best fielding shortstops in the american league guilln was often overlooked in post-season awards because his playing career coincided with that ofcal ripken jr.<ref name=ozzie guillen still retains defensive edge at short/>guilln ranks among the white sox all-time leaders ingames playedhit (baseball)|hits andat bat|at-bats.<ref>{{cite web|url=http://www.baseball-reference.com/teams/chw/leaders_bat.shtml|title=chicago white sox batting leaders|publisher=baseball reference|accessdate=21 august 2010 }}</ref>as a hitter he was known as a free swinger posting one of the highestat batsperwalk (baseball)|walkratios in major league history.<ref>{{cite book|url=http://books.google.com/books?id=ty0daaaambaj&pg=pa8&lpg=pa8&dq=ozzie+guillen+baseball+digest&source=bl&ots=rg-u9yao-h&sig=d7irlvcxz886btu7vzncwclneg0&hl=en&ei=oprftmtekikblae14nwxca&sa=x&oi=book_result&ct=result&resnum=10&ved=0cc0q6aewctgk#v=onepage&q&f=false|title=major league players with most at-bats per walk|publisher=,Ozzie_Guill%C3%A9n,2010,1176,0,,,,,,NA
hansen retired at the end of the 2005 season. he toldbaseball digestmagazine that he describes pinch-hitting not as a position not as a role but a state of mind.,Dave_Hansen_(baseball),2012,1179,0,,,,,,NA
